LexToken(IDENTIFIER,'nombre',67,1511)
LexToken(ASSIGN,'=',67,1518)
LexToken(STDIN,'stdin',67,1520)
LexToken(PUNTO,'.',67,1525)
LexToken(READ_LINE_SYNC,'readLineSync',67,1526)
LexToken(LPAREN,'(',67,1538)
LexToken(RPAREN,')',67,1539)
LexToken(NOT,'!',67,1540)
LexToken(SEMICOLON,';',67,1541)
LexToken(INT_TYPE,'int',69,1548)
LexToken(IDENTIFIER,'asistenciaLenguajes',69,1552)
LexToken(ASSIGN,'=',69,1572)
LexToken(IDENTIFIER,'asistencias',70,1582)
LexToken(LCORCHETE,'[',70,1593)
LexToken(STRING_LITERAL,'"Lenguajes de Programacion"',70,1594)
LexToken(RCORCHETE,']',70,1621)
LexToken(SEMICOLON,';',70,1622)
LexToken(STRING_TYPE,'String',74,1683)
LexToken(IDENTIFIER,'mensaje',74,1690)
LexToken(ASSIGN,'=',74,1698)
LexToken(STRING_LITERAL,'"Estudiante: "',75,1708)
LexToken(PLUS,'+',75,1723)
LexToken(IDENTIFIER,'nombre',75,1725)
LexToken(SEMICOLON,';',75,1731)
LexToken(DOUBLE_TYPE,'double',79,1789)
LexToken(IDENTIFIER,'notaAdicional',79,1796)
LexToken(ASSIGN,'=',79,1810)
LexToken(IDENTIFIER,'notaMinima',80,1820)
LexToken(PLUS,'+',80,1831)
LexToken(INTEGER_LITERAL,1,80,1833)
LexToken(SEMICOLON,';',80,1834)
LexToken(INT_TYPE,'int',84,1889)
LexToken(IDENTIFIER,'asistenciaAdicional',84,1893)
LexToken(ASSIGN,'=',84,1913)
LexToken(IDENTIFIER,'asistenciaLenguajes',85,1923)
LexToken(PLUS,'+',85,1943)
LexToken(INTEGER_LITERAL,5,85,1945)
LexToken(SEMICOLON,';',85,1946)
LexToken(DOUBLE_TYPE,'double',89,2015)
LexToken(IDENTIFIER,'errorNota',89,2022)
LexToken(ASSIGN,'=',89,2032)
LexToken(IDENTIFIER,'notaMinima',90,2042)
LexToken(PLUS,'+',90,2053)
LexToken(IDENTIFIER,'nombre',90,2055)
LexToken(SEMICOLON,';',90,2061)
LexToken(INT_TYPE,'int',94,2131)
LexToken(IDENTIFIER,'errorAsistencia',94,2135)
LexToken(ASSIGN,'=',94,2151)
LexToken(IDENTIFIER,'asistenciaLenguajes',95,2161)
LexToken(MULTIPLY,'*',95,2181)
LexToken(IDENTIFIER,'estudianteActivo',95,2183)
LexToken(SEMICOLON,';',95,2199)
LexToken(STRING_TYPE,'String',99,2263)
LexToken(IDENTIFIER,'errorCiudad',99,2270)
LexToken(ASSIGN,'=',99,2282)
LexToken(IDENTIFIER,'ciudad',100,2292)
LexToken(MINUS,'-',100,2299)
LexToken(IDENTIFIER,'nombre',100,2301)
LexToken(SEMICOLON,';',100,2307)
LexToken(STRING_TYPE,'String',104,2373)
LexToken(IDENTIFIER,'errorMensaje',104,2380)
LexToken(ASSIGN,'=',104,2393)
LexToken(STRING_LITERAL,'"Asistencia: "',105,2403)
LexToken(PLUS,'+',105,2418)
LexToken(IDENTIFIER,'asistenciaLenguajes',105,2420)
LexToken(SEMICOLON,';',105,2439)
LexToken(PRINT,'print',108,2447)
LexToken(LPAREN,'(',108,2452)
LexToken(IDENTIFIER,'mensaje',108,2453)
LexToken(RPAREN,')',108,2460)
LexToken(SEMICOLON,';',108,2461)
LexToken(PRINT,'print',109,2467)
LexToken(LPAREN,'(',109,2472)
LexToken(IDENTIFIER,'notaAdicional',109,2473)
LexToken(RPAREN,')',109,2486)
LexToken(SEMICOLON,';',109,2487)
LexToken(PRINT,'print',110,2493)
LexToken(LPAREN,'(',110,2498)
LexToken(IDENTIFIER,'asistenciaAdicional',110,2499)
LexToken(RPAREN,')',110,2518)
LexToken(SEMICOLON,';',110,2519)
