LexToken(IMPORT,'import',2,40)
LexToken(STRING_LITERAL,"'dart:io'",2,47)
LexToken(SEMICOLON,';',2,56)
LexToken(CONST,'const',9,218)
LexToken(DOUBLE_TYPE,'double',9,224)
LexToken(IDENTIFIER,'notaMinima',9,231)
LexToken(ASSIGN,'=',9,242)
LexToken(DOUBLE_LITERAL,7.0,9,244)
LexToken(SEMICOLON,';',9,247)
LexToken(FINAL,'final',10,249)
LexToken(STRING_TYPE,'String',10,255)
LexToken(IDENTIFIER,'ciudad',10,262)
LexToken(ASSIGN,'=',10,269)
LexToken(STRING_LITERAL,'"Guayaquil"',10,271)
LexToken(SEMICOLON,';',10,282)
LexToken(VAR,'var',12,285)
LexToken(IDENTIFIER,'estudianteActivo',12,289)
LexToken(ASSIGN,'=',12,306)
LexToken(TRUE,'true',12,308)
LexToken(SEMICOLON,';',12,312)
LexToken(BOOL_TYPE,'bool',13,314)
LexToken(IDENTIFIER,'tieneRecuperacion',13,319)
LexToken(ASSIGN,'=',13,337)
LexToken(FALSE,'false',13,339)
LexToken(SEMICOLON,';',13,344)
LexToken(LIST_TYPE,'List',15,347)
LexToken(LESS_THAN,'<',15,351)
LexToken(STRING_TYPE,'String',15,352)
LexToken(GREATER_THAN,'>',15,358)
LexToken(IDENTIFIER,'materias',15,360)
LexToken(ASSIGN,'=',15,369)
LexToken(LCORCHETE,'[',15,371)
LexToken(STRING_LITERAL,'"Lenguajes de Programacion"',16,377)
LexToken(COMA,',',16,404)
LexToken(STRING_LITERAL,'"Diseno de Interfaces"',17,410)
LexToken(RCORCHETE,']',18,433)
LexToken(SEMICOLON,';',18,434)
LexToken(MAP_TYPE,'Map',20,437)
LexToken(LESS_THAN,'<',20,440)
LexToken(STRING_TYPE,'String',20,441)
LexToken(COMA,',',20,447)
LexToken(INT_TYPE,'int',20,449)
LexToken(GREATER_THAN,'>',20,452)
LexToken(IDENTIFIER,'asistencias',20,454)
LexToken(ASSIGN,'=',20,466)
LexToken(LLLAVE,'{',20,468)
LexToken(STRING_LITERAL,'"Lenguajes de Programacion"',21,474)
LexToken(COLON,':',21,501)
LexToken(INTEGER_LITERAL,90,21,503)
