LexToken(DOUBLE_TYPE,'double',46,965)
LexToken(IDENTIFIER,'porcentaje',46,972)
LexToken(ASSIGN,'=',46,983)
LexToken(IDENTIFIER,'calcularPorcentajeDisponibilidad',47,991)
LexToken(LPAREN,'(',47,1023)
LexToken(IDENTIFIER,'ejemplaresDisponibles',48,1035)
LexToken(LBRACKET,'[',48,1056)
LexToken(STRING_LITERAL,'"Compiladores"',48,1057)
LexToken(RBRACKET,']',48,1071)
LexToken(NOT,'!',48,1072)
LexToken(COMMA,',',48,1073)
LexToken(INTEGER_LITERAL,10,49,1085)
LexToken(RPAREN,')',49,1087)
LexToken(SEMICOLON,';',49,1088)
LexToken(INT_TYPE,'int',51,1093)
LexToken(IDENTIFIER,'penalizacion',51,1097)
LexToken(ASSIGN,'=',51,1110)
LexToken(IDENTIFIER,'calcularDiasRetraso',51,1112)
LexToken(LPAREN,'(',51,1131)
LexToken(INTEGER_LITERAL,2,51,1132)
LexToken(RPAREN,')',51,1133)
LexToken(SEMICOLON,';',51,1134)
LexToken(IF,'if',53,1139)
LexToken(LPAREN,'(',53,1142)
LexToken(IDENTIFIER,'usuarioActivo',53,1143)
LexToken(AND,'&&',53,1157)
LexToken(NOT,'!',54,1166)
LexToken(IDENTIFIER,'tieneMultas',54,1167)
LexToken(AND,'&&',54,1179)
LexToken(IDENTIFIER,'ejemplaresDisponibles',55,1188)
LexToken(LBRACKET,'[',55,1209)
LexToken(STRING_LITERAL,'"Compiladores"',55,1210)
LexToken(RBRACKET,']',55,1224)
LexToken(NOT,'!',55,1225)
LexToken(GREATER_THAN,'>',55,1227)
LexToken(INTEGER_LITERAL,0,55,1229)
LexToken(RPAREN,')',55,1230)
LexToken(LBRACE,'{',55,1232)
LexToken(IDENTIFIER,'print',57,1239)
LexToken(LPAREN,'(',57,1244)
LexToken(STRING_LITERAL,'"Usuario autorizado para préstamo"',57,1245)
LexToken(RPAREN,')',57,1279)
LexToken(SEMICOLON,';',57,1280)
LexToken(IDENTIFIER,'print',58,1286)
LexToken(LPAREN,'(',58,1291)
LexToken(STRING_LITERAL,'"Bienvenido, $nombre"',58,1292)
LexToken(RPAREN,')',58,1313)
LexToken(SEMICOLON,';',58,1314)
LexToken(IDENTIFIER,'print',59,1320)
LexToken(LPAREN,'(',59,1325)
LexToken(STRING_LITERAL,'"Biblioteca: $biblioteca"',59,1326)
LexToken(RPAREN,')',59,1351)
LexToken(SEMICOLON,';',59,1352)
LexToken(IDENTIFIER,'print',60,1358)
LexToken(LPAREN,'(',60,1363)
LexToken(STRING_LITERAL,'"Disponibilidad: $porcentaje"',60,1364)
LexToken(RPAREN,')',60,1393)
LexToken(SEMICOLON,';',60,1394)
LexToken(IDENTIFIER,'print',61,1400)
LexToken(LPAREN,'(',61,1405)
LexToken(STRING_LITERAL,'"Penalización calculada: $penalizacion"',61,1406)
LexToken(RPAREN,')',61,1445)
LexToken(SEMICOLON,';',61,1446)
LexToken(RBRACE,'}',63,1451)
LexToken(ELSE,'else',63,1453)
LexToken(LBRACE,'{',63,1458)
LexToken(IDENTIFIER,'print',65,1465)
LexToken(LPAREN,'(',65,1470)
LexToken(STRING_LITERAL,'"No es posible realizar el préstamo"',65,1471)
LexToken(RPAREN,')',65,1507)
LexToken(SEMICOLON,';',65,1508)
LexToken(RBRACE,'}',67,1513)
LexToken(RBRACE,'}',69,1516)
